sttn,1st,2nd,3rd,4th,5th
0004W,1296W,0021W,0078W,0007W,0807W
0006W,TT671,0078W,0010W,0413W,0378W
0007W,0171W,1296W,0073W,0163W,0807W
0010W,0043W,0344W,0275W,0413W,0378W
0012W,0139W,KTLH,1080W,0344W,TT669
0016W,0139W,1080W,0043W,0344W,0021W
0021W,1296W,0016W,0078W,0073W,0163W
0038W,1334W,0362W,KOMN,0094W,KFIN
0040W,0545W,KPIE,0542W,KSPG,KMCF
0043W,1080W,0344W,0016W,0010W,0413W
0045W,0052W,0048W,0046W,0098W,KVLD
0046W,0050W,0048W,0880W,0194W,0246W
0048W,0052W,0050W,0046W,0045W,0098W
0050W,0048W,0046W,0880W,0194W,0246W
0052W,0048W,0045W,0098W,0714W,KVLD
0054W,0097W,PRWF1,0569W,SNDF1,0140W
0058W,0508W,0174W,KCRG,KSGJ,0094W
0063W,KTTS,MRFF1,0280W,KTIX,KXMR
0064W,KFXE,KPMP,0430W,KBCT,0067W
0067W,KHWO,KFXE,KFLL,KPMP,1343W
0073W,0171W,1296W,0021W,TT669,0163W
0078W,1296W,0021W,0016W,0073W,0006W
0081W,KMIA,0235W,0234W,0878W,0323W
0084W,0453W,KUNV,0278W,TT597,0250W
0094W,0508W,1334W,KSGJ,0038W,0058W
0097W,0054W,PRWF1,SAMF1,0012W,SNDF1
0098W,0052W,0048W,0045W,0714W,K24J
0104W,KOMN,KDED,KDAB,0834W,KEVB
0112W,0455W,0098W,0215W,0714W,K24J
0125W,KX07,KBOW,0525W,TS738,KGIF
0128W,KSRQ,0040W,0400W,1209W,KVNC
0129W,0773W,0437W,KBCR,0864W,0259W
0139W,1080W,0043W,0344W,TT669,0016W
0140W,0054W,KAAF,0569W,SURF1,SNDF1
0150W,0125W,KISM,KMCO,0525W,TS738
0152W,KOCF,1326W,0576W,0713W,TT687
0163W,0171W,1296W,TT669,0021W,0073W
0165W,1069W,0341W,KCTY,SWNF1,0464W
0171W,0139W,1062W,TT669,0073W,0163W
0172W,KPNS,0402W,1206W,1201W,0904W
0173W,0239W,K54J,0773W,KECP,KVPS
0174W,KCRG,KFHB,KNRB,KNIP,1323W
0180W,0459W,KLEE,TS959,1342W,TT686
0194W,0050W,0048W,0046W,0880W,0246W
0198W,KLCQ,TT672,1175W,0991W,OLSF1
0202W,0431W,KSUA,KFPR,0203W,KVRB
0203W,0431W,KX26,KFPR,0202W,KVRB
0209W,KCGC,KBKV,0398W,0331W,KINF
0212W,1057W,KCGC,0209W,KINF,0463W
0215W,0455W,0112W,1069W,0341W,K24J
0217W,0865W,0864W,0567W,KMAI,K17J
0219W,BFSF1,0292W,0865W,WHSF1,1155W
0221W,0778W,KVQQ,1169W,K42J,0991W
0228W,GHTF1,KOBE,0919W,0916W,0317W
0231W,0314W,KX07,KBOW,0335W,LWEF1
0234W,KMIA,0235W,0878W,0081W,0323W
0235W,KMIA,0234W,0878W,0081W,0323W
0239W,0173W,KECP,0437W,KPAM,KTDR
0241W,KVPS,0427W,0401W,KHRT,KEGI
0246W,0050W,0880W,0046W,1062W,0194W
0250W,0453W,TT609,KUNV,0084W,0278W
0254W,KBDL,KCEF,0836W,KIJD,KHFD
0258W,KBOS,KBED,0518W,BLUM3,KOWD
0259W,0129W,KBCR,0864W,0567W,KMAI
0262W,KLCK,KCMH,0731W,KOSU,KTZR
0275W,KTLH,0043W,0010W,0413W,0378W
0278W,0453W,KUNV,0084W,TT597,0250W
0280W,0461W,KORL,KMCO,1342W,1341W
0283W,0461W,0459W,0488W,1342W,1341W
0286W,0362W,0094W,0396W,K28J,LGRF1
0292W,BFSF1,0865W,K2J9,0219W,1155W
0300W,KLCQ,0778W,0221W,0991W,OLSF1
0303W,KHEY,KDHN,KOZR,KLOR,K0J6
0307W,0778W,0663W,KX60,1291W,K42J
0310W,0307W,KX60,0663W,0341W,0464W
0314W,KSEF,LWEF1,0394W,APRF1,TT601
0317W,K2IS,GHTF1,0333W,0919W,0916W
0323W,KMIA,0235W,0234W,0878W,0081W
0325W,NLOF1,KPNS,0427W,0401W,0327W
0327W,1196W,NLOF1,KPNS,1201W,1199W
0331W,KLEE,KBKV,1326W,KINF,TT686
0333W,0368W,KRSW,K2IS,0433W,0317W
0335W,0314W,0231W,LWEF1,0394W,KPGD
0341W,0165W,1069W,0215W,KCTY,0464W
0344W,0139W,1080W,0043W,0016W,0010W
0346W,KCRG,KFHB,KNRB,KJAX,1323W
0349W,0353W,0536W,KFTY,KPDK,1147W
0353W,0536W,KFTY,0349W,KPDK,1147W
0358W,0359W,0670W,0495W,KAGC,0561W
0359W,0358W,0670W,0495W,KAGC,0561W
0362W,0286W,0094W,0396W,K28J,LGRF1
0368W,KRSW,RKIF1,PHWF1,PSTF1,0333W
0369W,KRSW,KFMY,0433W,0529W,1212W
0378W,KTLH,0043W,0275W,0010W,0413W
0391W,KISM,0280W,KORL,KMCO,0150W
0394W,KSEF,LWEF1,1158W,0919W,0916W
0396W,CRAF1,0362W,0286W,LGRF1,K28J
0398W,KBKV,1037W,KVDF,KTPA,0209W
0400W,0545W,0128W,KSRQ,0040W,1209W
0401W,0241W,NLOF1,0427W,0325W,KHRT
0402W,0172W,KPNS,1203W,1201W,1199W
0405W,KGAI,KRSP,KFDK,FOXM2,ANBM2
0406W,KJYO,KHEF,KIAD,KDAA,PWRV2
0408W,1257W,KBCB,1281W,1278W,1146W
0413W,KTLH,0043W,0275W,0010W,0378W
0414W,AFRG1,0643W,0756W,0475W,0472W
0422W,KTTA,0789W,DKFN7,KRDU,KTQV
0425W,0802W,0789W,1328W,1327W,KRDU
0427W,0241W,0902W,0401W,0325W,KHRT
0430W,KFXE,KPMP,KBCT,0067W,0064W
0431W,KX26,KFPR,0203W,0202W,KVRB
0433W,0369W,KRSW,KFMY,0529W,1212W
0437W,0239W,0129W,KECP,KPAM,KTDR
0441W,KGMU,1184W,KGYH,KLQK,KGSP
0447W,KGVE,0618W,KW13,CROV2,KCHO
0453W,KUNV,0084W,0278W,TT597,0250W
0455W,1175W,1172W,0716W,0714W,K24J
0459W,0461W,0283W,0488W,1342W,1341W
0461W,0283W,0280W,KORL,1342W,1341W
0463W,1057W,KCGC,KX60,0212W,0564W
0464W,0310W,0165W,0341W,SWNF1,KCTY
0468W,KEYW,KMTH,TS607,KNQX,0470W
0470W,KEYW,KMTH,TS607,KNQX,0468W
0472W,AFRG1,0643W,0761W,0756W,0475W
0475W,AFRG1,0761W,0756W,0472W,KAHN
0477W,TBLS1,KCEU,KLQK,KAND,WLHS1
0486W,KMGR,KTVI,AELG1,0764W,0560W
0488W,0461W,0459W,KDED,0283W,KEVB
0491W,KMLB,KX26,KCOF,0203W,KXMR
0495W,0359W,0670W,0358W,KAGC,0561W
0497W,KUCP,KGKJ,KYNG,KHZY,KERI
0499W,KDTW,KTTF,KONZ,KYIP,CYQG
0503W,0550W,KPIE,0545W,0542W,KCLW
