point0,nearest1,dist1,nearest2,dist2
PADK,PAAK,170.8,PASY,634.8
PAKH,PADQ,135.7,PAPN,215.9
PAUT,PADU,67.3,PAKF,161.8
PAFM,PAGH,38.7,PASK,108.9
PAKP,PAGB,100.3,PABT,135.9
PANC,PALH,1.4,PAMR,9.2
PALH,PANC,1.4,PAMR,7.8
PAMR,PAED,4.6,PALH,7.8
PAGN,PASI,69.2,PAFE,71.5
PANI,PALG,42.6,PAHC,68.5
PANT,PAMM,10.5,PAKT,36.5
PANV,PAHX,32.2,PAHC,55.3
PARC,PALR,139.5,PAGB,165.8
PAAK,PADK,170.8,PADU,544.6
PATQ,PABR,94.2,PAWI,96.6
PABA,PAAD,102.3,PASC,184.3
PABE,PANA,12.6,PFKW,21.4
PABT,PAPR,40.2,PAKP,135.9
PABV,PAWS,17.3,PAFR,18.4
PFKT,PATE,11.7,PAPC,20.2
PAFR,PAED,8.4,PAMR,11.8
PABL,PADE,73.7,PASK,86.2
PATW,PAIN,38,PAHV,52.8
PALU,PAPO,64.8,PAVL,141.7
PAEH,PAPM,42.9,PATG,105.9
PACZ,PACM,25.6,PAHP,29.1
PACE,PACR,42.9,PFYU,112.9
PALR,PAGB,116.3,PAPR,120.8
PAVA,PAHP,29,PACM,33.9
PAJC,PAPH,73.6,PAPN,149.2
PACR,PACE,42.9,PFYU,98.1
PFCL,PADL,23.5,PAMB,34.6
PACD,PAVC,30.8,PAKF,59.1
PACV,PAVD,82.7,PAMD,124.7
PASC,PAKU,45.2,PAAD,82.3
PADE,PABL,73.7,PAOT,90.9
PABI,PAEI,99.9,PAXK,108.4
PADL,PFCL,23.5,PAMB,31.8
PADU,PAUT,67.3,PAKF,228.8
PAEG,PACR,179.2,PACE,191.3
PASY,PADK,634.8,PAAK,792.3
PAII,PFWS,61.5,PAPN,68.2
PAEI,PAFB,30.9,PAFA,39.4
PAEL,PAGS,45.3,PAOH,56.1
PFEL,PAGL,35.8,PAWM,54.9
PAED,PAMR,4.6,PAFR,8.4
PAEM,PAMO,87.4,PASM,101.3
PAFA,PAFB,11.7,PAEI,39.4
PAKF,PACD,59.1,PAVC,78.9
PAFK,PAFS,64.8,PAMC,110.8
PAFB,PAFA,11.7,PAEI,30.9
PFYU,PACR,98.1,PACE,112.9
PAGB,PAKP,100.3,PALR,116.3
PAGA,PARY,69.6,PAKV,97.9
PAGM,PASA,61.7,PAIW,269.1
PAGL,PAWM,24.7,PFEL,35.8
PAGK,PAXK,96.7,PASP,113.7
PAGS,PAOH,40.5,PAEL,45.3
PAHN,PAGY,26.8,PAGS,91.6
PAHV,PAIN,15.1,PATW,52.8
PAHC,PANV,55.3,PAHX,57
PAHO,PASO,26,PASX,95.4
PAOH,PAGS,40.5,PAEL,56.1
PAHP,PAVA,29,PACZ,29.1
PAHL,PAGA,110.4,PARY,115.5
PAHY,PAKW,44.3,PAKT,72.5
PAIG,PAIL,73.6,PANW,82
PAIL,PAIG,73.6,PAJZ,131.6
PAIM,PATA,116.9,PAHL,124.8
PAJN,PAOH,56.7,PAGS,66.4
PAFE,PAPG,61.3,PAGN,71.5
PALG,PANI,42.6,PARS,58.3
PAKV,PAGA,97.9,PAUN,110.8
PAEN,PASX,15.7,PANC,95.1
PAKT,PAMM,26.4,PANT,36.5
PAIK,PFNO,30.9,PASK,46.2
PAVC,PACD,30.8,PAKF,78.9
PAKN,PFWS,20.7,PAII,69.1
PAKI,PAOO,89.3,PAQH,123.7
PAVL,PAWN,69.8,PADG,77
PAKW,PAHY,44.3,PAKT,89.4
PADQ,PAKH,135.7,PASO,193.7
PAJZ,PANW,31,PAIG,88.7
PAOT,PFNO,69.5,PAWN,77.5
PAKK,PFSH,63.3,PFEL,64.1
PAKU,PASC,45.2,PALP,50.4
