sttn,nearest,dist1,nearest2,dist2
PADK,PAAK,170.7713886,PASY,634.820226
PAKH,PADQ,135.6682719,PAPN,215.9096028
PAUT,PADU,67.25126043,PAKF,161.814779
PAFM,PAGH,38.6986429,PASK,108.8897523
PAKP,PAGB,100.2735496,PABT,135.9285252
PANC,PALH,1.429295486,PAMR,9.232276543
PALH,PANC,1.429295486,PAMR,7.804371866
PAMR,PAED,4.615586244,PALH,7.804371866
PAGN,PASI,69.18498953,PAFE,71.503855
PANI,PALG,42.55881449,PAHC,68.54847972
PANT,PAMM,10.45500275,PAKT,36.5412764
PANV,PAHX,32.15617722,PAHC,55.28868632
PARC,PALR,139.5431683,PAGB,165.8278669
PAAK,PADK,170.7713886,PADU,544.5802817
PATQ,PABR,94.21268817,PAWI,96.61815116
PABA,PAAD,102.313534,PASC,184.3144817
PABE,PANA,12.56147417,PFKW,21.41515304
PABT,PAPR,40.22677419,PAKP,135.9285252
PABV,PAWS,17.34612927,PAFR,18.4170234
PFKT,PATE,11.70534086,PAPC,20.20083782
PAFR,PAED,8.410713642,PAMR,11.79033481
PABL,PADE,73.70925021,PASK,86.21636306
PATW,PAIN,38.02727747,PAHV,52.82132452
PALU,PAPO,64.84812003,PAVL,141.6974866
PAEH,PAPM,42.92786206,PATG,105.9443694
PACZ,PACM,25.62151159,PAHP,29.07514044
PACE,PACR,42.92829685,PFYU,112.9201303
PALR,PAGB,116.2685847,PAPR,120.7922233
PAVA,PAHP,29.02749884,PACM,33.88332202
PAJC,PAPH,73.61829481,PAPN,149.2212222
PACR,PACE,42.92829685,PFYU,98.05398163
PFCL,PADL,23.50276458,PAMB,34.60702104
PACD,PAVC,30.81913509,PAKF,59.13480588
PACV,PAVD,82.70991589,PAMD,124.6978495
PASC,PAKU,45.15666268,PAAD,82.31457948
PADE,PABL,73.70925021,PAOT,90.93677079
PABI,PAEI,99.93980075,PAXK,108.4031512
PADL,PFCL,23.50276458,PAMB,31.77909967
